Latitude (decimal degrees):	51.236
Longitude (decimal degrees):	22.568
Elevation (m):	172
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,9.92,5.24,0.0
20230101:0110,0.0,0.0,9.91,5.24,0.0
20230101:0210,0.0,0.0,9.93,5.17,0.0
20230101:0310,0.0,0.0,9.95,5.1,0.0
20230101:0410,0.0,0.0,9.78,5.1,0.0
20230101:0510,0.0,0.0,9.53,4.97,0.0
20230101:0610,0.0,0.0,9.38,4.83,0.0
20230101:0710,32.82,3.52,10.13,4.97,0.0
20230101:0810,413.53,9.44,10.43,4.9,0.0
20230101:0910,566.96,13.58,11.36,4.9,0.0
20230101:1010,665.03,15.59,12.29,4.83,0.0
20230101:1110,462.51,15.29,12.71,4.41,0.0
20230101:1210,425.51,12.7,12.69,4.76,0.0
20230101:1310,385.89,8.06,12.34,4.69,0.0
20230101:1410,0.93,1.74,11.46,4.62,0.0
20230101:1510,0.0,0.0,10.45,4.55,0.0
20230101:1610,0.0,0.0,9.69,4.62,0.0
20230101:1710,0.0,0.0,9.15,4.48,0.0
20230101:1810,0.0,0.0,8.79,4.28,0.0
20230101:1910,0.0,0.0,9.13,4.0,0.0
20230101:2010,0.0,0.0,8.7,3.93,0.0
20230101:2110,0.0,0.0,8.38,3.66,0.0
20230101:2210,0.0,0.0,7.99,3.31,0.0
20230101:2310,0.0,0.0,7.64,3.31,0.0
20230102:0010,0.0,0.0,7.22,3.24,0.0
20230102:0110,0.0,0.0,6.88,3.03,0.0
20230102:0210,0.0,0.0,6.56,3.03,0.0
20230102:0310,0.0,0.0,6.18,3.03,0.0
20230102:0410,0.0,0.0,5.88,2.9,0.0
20230102:0510,0.0,0.0,5.7,2.76,0.0
20230102:0610,0.0,0.0,5.55,2.76,0.0
20230102:0710,154.2,3.54,6.05,2.97,0.0
20230102:0810,189.09,9.49,6.67,3.17,0.0
20230102:0910,343.87,13.64,7.82,3.31,0.0
20230102:1010,268.88,15.67,8.87,3.59,0.0
20230102:1110,288.78,15.39,9.82,3.72,0.0
20230102:1210,243.18,12.81,10.37,4.28,0.0
20230102:1310,133.85,8.18,10.62,3.93,0.0
20230102:1410,0.93,1.86,10.34,3.86,0.0
20230102:1510,0.0,0.0,9.45,3.79,0.0
20230102:1610,0.0,0.0,8.8,3.93,0.0
20230102:1710,0.0,0.0,8.23,4.07,0.0
20230102:1810,0.0,0.0,7.7,4.0,0.0
20230102:1910,0.0,0.0,7.98,4.07,0.0
20230102:2010,0.0,0.0,7.57,3.72,0.0
20230102:2110,0.0,0.0,7.21,3.86,0.0
20230102:2210,0.0,0.0,7.0,3.93,0.0
20230102:2310,0.0,0.0,6.87,3.79,0.0
20230103:0010,0.0,0.0,6.85,3.79,0.0
20230103:0110,0.0,0.0,6.81,3.66,0.0
20230103:0210,0.0,0.0,6.87,3.59,0.0
20230103:0310,0.0,0.0,6.91,3.59,0.0
20230103:0410,0.0,0.0,7.3,3.59,0.0
20230103:0510,0.0,0.0,7.45,3.52,0.0
20230103:0610,0.0,0.0,7.24,3.45,0.0
20230103:0710,115.79,3.58,7.69,3.79,0.0
20230103:0810,154.06,9.54,7.92,3.93,0.0
20230103:0910,149.02,13.71,8.39,3.86,0.0
20230103:1010,66.75,15.76,8.64,4.41,0.0
20230103:1110,424.18,15.49,8.63,4.34,0.0
20230103:1210,126.58,12.93,8.4,4.21,0.0
20230103:1310,375.37,8.31,7.9,4.28,0.0
20230103:1410,4.64,2.0,7.06,4.34,0.0
20230103:1510,0.0,0.0,6.38,4.0,0.0
20230103:1610,0.0,0.0,5.83,3.93,0.0
20230103:1710,0.0,0.0,4.98,3.66,0.0
20230103:1810,0.0,0.0,4.64,3.59,0.0
20230103:1910,0.0,0.0,4.53,3.38,0.0
20230103:2010,0.0,0.0,4.19,3.45,0.0
20230103:2110,0.0,0.0,3.82,3.38,0.0
20230103:2210,0.0,0.0,3.63,3.31,0.0
20230103:2310,0.0,0.0,3.36,3.24,0.0
20230104:0010,0.0,0.0,2.94,3.1,0.0
20230104:0110,0.0,0.0,2.47,2.9,0.0
20230104:0210,0.0,0.0,1.94,2.62,0.0
20230104:0310,0.0,0.0,1.45,2.41,0.0
20230104:0410,0.0,0.0,1.17,2.28,0.0
20230104:0510,0.0,0.0,0.9,2.14,0.0
20230104:0610,0.0,0.0,0.67,2.0,0.0
20230104:0710,60.24,3.62,0.13,2.21,0.0
20230104:0810,124.97,9.59,0.59,1.93,0.0
20230104:0910,580.73,13.79,1.8,1.93,0.0
20230104:1010,637.56,15.85,2.91,2.41,0.0
20230104:1110,541.66,15.6,3.87,2.83,0.0
20230104:1210,384.81,13.05,4.25,2.97,0.0
20230104:1310,160.69,8.44,4.36,3.24,0.0
20230104:1410,1.85,2.13,3.96,3.52,0.0
20230104:1510,0.0,0.0,3.85,3.93,0.0
