Latitude (decimal degrees):	51.279
Longitude (decimal degrees):	22.569
Elevation (m):	212
Radiation database:	PVGIS-SARAH3


Slope: 35 deg.
Azimuth: 0 deg.
time,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,1.5664,3.6518,0.0
20230101:0110,0.0,0.0,1.4782,3.65,0.0
20230101:0210,0.0,0.0,1.3991,3.6555,0.0
20230101:0310,0.0,0.0,1.29,3.6482,0.0
20230101:0410,0.0,0.0,1.1073,3.6436,0.0
20230101:0510,0.0,0.0,0.9045,3.5745,0.0
20230101:0610,0.0,0.0,0.7927,3.5373,0.0
20230101:0710,43.6236,3.49,0.8364,3.5691,0.0
20230101:0810,221.6082,9.41,1.17,3.6127,0.0
20230101:0910,309.3564,13.54,1.7173,3.6109,0.0
20230101:1010,352.9809,15.55,2.3382,3.9064,0.0
20230101:1110,302.7691,15.25,2.7964,3.83,0.0
20230101:1210,240.2436,12.66,3.0518,3.7382,0.0
20230101:1310,149.6491,8.03,3.0782,3.7509,0.0
20230101:1410,1.7718,1.71,2.74,3.6109,0.0
20230101:1510,0.0,0.0,2.2736,3.5664,0.0
20230101:1610,0.0,0.0,1.9318,3.5536,0.0
20230101:1710,0.0,0.0,1.6627,3.4973,0.0
20230101:1810,0.0,0.0,1.4118,3.4236,0.0
20230101:1910,0.0,0.0,1.3618,3.1655,0.0
20230101:2010,0.0,0.0,1.1445,3.1545,0.0
20230101:2110,0.0,0.0,0.9291,3.1227,0.0
20230101:2210,0.0,0.0,0.6882,3.0664,0.0
20230101:2310,0.0,0.0,0.4,3.0545,0.0
20230102:0010,0.0,0.0,0.1073,3.0291,0.0
20230102:0110,0.0,0.0,-0.1627,2.9155,0.0
20230102:0210,0.0,0.0,-0.4209,2.9409,0.0
20230102:0310,0.0,0.0,-0.6182,2.9909,0.0
20230102:0410,0.0,0.0,-0.7127,2.9918,0.0
20230102:0510,0.0,0.0,-0.8591,3.0209,0.0
20230102:0610,0.0,0.0,-0.9382,3.09,0.0
20230102:0710,67.8773,3.2,-0.5909,3.2482,0.0
20230102:0810,247.7545,9.45,0.0045,3.4236,0.0
20230102:0910,265.4482,12.3636,0.8245,3.3055,0.0
20230102:1010,313.8564,15.63,1.6582,3.5873,0.0
20230102:1110,293.8818,15.34,2.3209,3.6164,0.0
20230102:1210,213.1455,12.77,2.7455,3.7055,0.0
20230102:1310,124.48,8.15,2.8782,3.7491,0.0
20230102:1410,2.6145,1.83,2.6436,3.6555,0.0
20230102:1510,0.0,0.0,2.2555,3.5791,0.0
20230102:1610,0.0,0.0,1.93,3.6118,0.0
20230102:1710,0.0,0.0,1.7327,3.6927,0.0
20230102:1810,0.0,0.0,1.5518,3.7364,0.0
20230102:1910,0.0,0.0,1.3609,3.7882,0.0
20230102:2010,0.0,0.0,1.2064,3.8373,0.0
20230102:2110,0.0,0.0,1.0773,3.9436,0.0
20230102:2210,0.0,0.0,0.9282,4.0055,0.0
20230102:2310,0.0,0.0,0.8282,3.9791,0.0
20230103:0010,0.0,0.0,0.6409,3.9627,0.0
20230103:0110,0.0,0.0,0.5527,3.9573,0.0
20230103:0210,0.0,0.0,0.4509,3.9327,0.0
20230103:0310,0.0,0.0,0.3945,3.9491,0.0
20230103:0410,0.0,0.0,0.3236,3.9309,0.0
20230103:0510,0.0,0.0,0.2582,3.8309,0.0
20230103:0610,0.0,0.0,0.1273,3.7873,0.0
20230103:0710,60.6682,3.55,0.13,3.8555,0.0
20230103:0810,188.1873,9.5,0.4191,3.8491,0.0
20230103:0910,213.8745,13.67,0.9282,4.1055,0.0
20230103:1010,257.1782,15.72,1.3655,4.2373,0.0
20230103:1110,227.9364,15.45,1.6564,4.0873,0.0
20230103:1210,255.8191,12.89,1.7536,4.0818,0.0
20230103:1310,205.5609,8.27,1.5182,4.1691,0.0
20230103:1410,3.2882,1.97,1.1027,3.9618,0.0
20230103:1510,0.0,0.0,0.6991,4.0436,0.0
20230103:1610,0.0,0.0,0.4918,4.0891,0.0
20230103:1710,0.0,0.0,0.3118,4.0009,0.0
20230103:1810,0.0,0.0,0.2055,3.9127,0.0
20230103:1910,0.0,0.0,0.2309,4.0255,0.0
20230103:2010,0.0,0.0,0.2945,4.0564,0.0
20230103:2110,0.0,0.0,0.3027,4.07,0.0
20230103:2210,0.0,0.0,0.2809,4.07,0.0
20230103:2310,0.0,0.0,0.2873,4.1445,0.0
20230104:0010,0.0,0.0,0.1964,4.17,0.0
20230104:0110,0.0,0.0,0.04,4.1264,0.0
20230104:0210,0.0,0.0,-0.0318,4.1373,0.0
20230104:0310,0.0,0.0,-0.09,4.1118,0.0
20230104:0410,0.0,0.0,-0.1255,3.8118,0.0
20230104:0510,0.0,0.0,-0.1409,3.7173,0.0
20230104:0610,0.0,0.0,-0.1273,3.9236,0.0
20230104:0710,66.8464,3.59,-0.04,3.9755,0.0
20230104:0810,170.4591,9.56,0.2736,3.9618,0.0
20230104:0910,230.7527,13.75,0.8836,3.7855,0.0
20230104:1010,361.9391,15.81,1.5527,3.6809,0.0
20230104:1110,330.6045,15.56,2.0245,3.8618,0.0
20230104:1210,268.8436,13.01,2.1755,3.8545,0.0
20230104:1310,162.3918,8.41,2.1591,4.0245,0.0
20230104:1410,4.0445,2.1,1.8136,3.85,0.0
20230104:1510,0.0,0.0,1.3855,3.8618,0.0
20230104:1610,0.0,0.0,1.1836,3.95,0.0
20230104:1710,0.0,0.0,1.05,4.0118,0.0
20230104:1810,0.0,0.0,0.9545,4.0627,0.0
20230104:1910,0.0,0.0,0.7355,4.2318,0.0
20230104:2010,0.0,0.0,0.7491,4.2636,0.0
20230104:2110,0.0,0.0,0.8673,4.2945,0.0
20230104:2210,0.0,0.0,0.9036,4.3818,0.0
20230104:2310,0.0,0.0,0.9655,4.3827,0.0
20230105:0010,0.0,0.0,1.0591,4.3718,0.0
20230105:0110,0.0,0.0,1.1091,4.42,0.0
20230105:0210,0.0,0.0,1.07,4.4318,0.0
20230105:0310,0.0,0.0,1.0145,4.3636,0.0
20230105:0410,0.0,0.0,0.9855,4.3364,0.0
20230105:0510,0.0,0.0,0.9282,4.4018,0.0
20230105:0610,0.0,0.0,0.8009,4.3827,0.0
20230105:0710,52.7136,3.63,0.6764,4.4191,0.0
20230105:0810,137.5555,9.62,0.7018,4.42,0.0
20230105:0910,183.8391,13.83,0.9373,4.2245,0.0
20230105:1010,209.1582,15.91,1.2127,4.4191,0.0
20230105:1110,138.1473,15.68,1.4209,4.4191,0.0
20230105:1210,178.6918,13.14,1.5482,4.3145,0.0
20230105:1310,42.1618,8.54,1.4936,4.0809,0.0
20230105:1410,2.4409,2.25,1.1973,3.8809,0.0
20230105:1510,0.0,0.0,0.6991,3.8691,0.0
20230105:1610,0.0,0.0,0.3709,3.8745,0.0
20230105:1710,0.0,0.0,0.1236,3.8745,0.0
20230105:1810,0.0,0.0,-0.1073,3.8882,0.0
20230105:1910,0.0,0.0,-0.4782,3.7736,0.0
20230105:2010,0.0,0.0,-0.7182,3.7291,0.0
20230105:2110,0.0,0.0,-0.9264,3.5927,0.0
20230105:2210,0.0,0.0,-1.1273,3.4664,0.0
20230105:2310,0.0,0.0,-1.3918,3.3173,0.0
20230106:0010,0.0,0.0,-1.6036,3.2864,0.0
20230106:0110,0.0,0.0,-1.8273,3.2718,0.0
20230106:0210,0.0,0.0,-2.13,3.2664,0.0
20230106:0310,0.0,0.0,-2.3209,3.2855,0.0
20230106:0410,0.0,0.0,-2.4673,3.2673,0.0
20230106:0510,0.0,0.0,-2.6255,3.1409,0.0
20230106:0610,0.0,0.0,-2.7373,3.0536,0.0
20230106:0710,62.0091,3.69,-2.5982,3.1164,0.0
20230106:0810,151.3282,9.69,-2.3445,3.1536,0.0
20230106:0910,182.0827,13.92,-1.9591,3.2118,0.0
20230106:1010,154.14,16.02,-1.5427,3.1791,0.0
20230106:1110,148.04,15.8,-1.1927,3.18,0.0
20230106:1210,156.1,13.28,-0.9736,3.1845,0.0
20230106:1310,128.6673,8.69,-0.9518,2.9464,0.0
20230106:1410,9.8755,2.4,-1.2345,2.7327,0.0
20230106:1510,0.0,0.0,-1.78,2.7091,0.0
20230106:1610,0.0,0.0,-2.1436,2.8773,0.0
20230106:1710,0.0,0.0,-2.4564,2.9282,0.0
20230106:1810,0.0,0.0,-2.6818,2.9536,0.0
20230106:1910,0.0,0.0,-2.8618,2.9909,0.0
20230106:2010,0.0,0.0,-3.0882,2.9718,0.0
20230106:2110,0.0,0.0,-3.2873,2.89,0.0
20230106:2210,0.0,0.0,-3.5418,2.8773,0.0
20230106:2310,0.0,0.0,-3.6818,2.7282,0.0
20230107:0010,0.0,0.0,-3.4782,2.5264,0.0
20230107:0110,0.0,0.0,-3.5927,2.3255,0.0
20230107:0210,0.0,0.0,-3.6709,2.2445,0.0
20230107:0310,0.0,0.0,-3.8045,2.3309,0.0
20230107:0410,0.0,0.0,-3.9555,2.3873,0.0
20230107:0510,0.0,0.0,-4.27,2.4,0.0
20230107:0610,0.0,0.0,-4.4518,2.37,0.0
20230107:0710,65.0191,3.75,-4.8755,2.3264,0.0
20230107:0810,201.4736,9.77,-4.3773,2.3827,0.0
20230107:0910,253.1664,14.02,-3.4527,2.5955,0.0
20230107:1010,262.2636,16.14,-2.6173,2.6327,0.0
20230107:1110,254.1845,15.93,-2.0973,2.7027,0.0
20230107:1210,211.5118,13.42,-1.8391,2.67,0.0
20230107:1310,164.9773,8.84,-1.85,2.6145,0.0
20230107:1410,14.8455,2.55,-2.2009,2.4818,0.0
20230107:1510,0.0,0.0,-2.8064,2.5664,0.0
20230107:1610,0.0,0.0,-3.1882,2.6291,0.0
20230107:1710,0.0,0.0,-3.51,2.6273,0.0
20230107:1810,0.0,0.0,-3.7564,2.5818,0.0
20230107:1910,0.0,0.0,-4.0391,2.6273,0.0
20230107:2010,0.0,0.0,-4.07,2.5964,0.0
20230107:2110,0.0,0.0,-4.1636,2.5891,0.0
20230107:2210,0.0,0.0,-4.4091,2.6027,0.0
20230107:2310,0.0,0.0,-4.5009,2.5591,0.0
20230108:0010,0.0,0.0,-4.5273,2.5582,0.0
20230108:0110,0.0,0.0,-4.5591,2.5273,0.0
20230108:0210,0.0,0.0,-4.6018,2.4582,0.0
20230108:0310,0.0,0.0,-4.5545,2.4573,0.0
20230108:0410,0.0,0.0,-4.46,2.4755,0.0
20230108:0510,0.0,0.0,-4.33,2.45,0.0
20230108:0610,0.0,0.0,-4.3018,2.4645,0.0
20230108:0710,83.9627,3.81,-4.2555,2.5255,0.0
20230108:0810,213.7755,9.85,-3.5409,2.6027,0.0
20230108:0910,206.1045,14.12,-2.7018,2.7155,0.0
20230108:1010,193.1336,16.26,-1.8191,2.8782,0.0
20230108:1110,233.3082,16.07,-1.1582,2.9536,0.0
20230108:1210,166.8609,13.58,-0.7409,3.0345,0.0
20230108:1310,162.4745,9.0,-0.6745,3.0909,0.0
20230108:1410,27.1973,2.71,-0.9982,3.2118,0.0
20230108:1510,0.0,0.0,-1.6073,3.2364,0.0
20230108:1610,0.0,0.0,-1.9618,3.2855,0.0
20230108:1710,0.0,0.0,-2.11,3.3418,0.0
20230108:1810,0.0,0.0,-2.1036,3.4109,0.0
20230108:1910,0.0,0.0,-2.0518,3.4545,0.0
20230108:2010,0.0,0.0,-1.9673,3.4236,0.0
20230108:2110,0.0,0.0,-2.0218,3.3873,0.0
20230108:2210,0.0,0.0,-2.0964,3.3545,0.0
20230108:2310,0.0,0.0,-2.0927,3.2355,0.0
20230109:0010,0.0,0.0,-2.0709,3.1527,0.0
20230109:0110,0.0,0.0,-2.0191,3.0664,0.0
20230109:0210,0.0,0.0,-1.9836,2.9782,0.0
20230109:0310,0.0,0.0,-1.8445,2.9891,0.0
20230109:0410,0.0,0.0,-1.7191,3.0209,0.0
20230109:0510,0.0,0.0,-1.6236,3.0218,0.0
20230109:0610,0.0,0.0,-1.5345,3.0291,0.0
20230109:0710,61.9555,3.5364,-1.5345,3.0045,0.0
20230109:0810,193.9364,9.95,-1.0645,2.9773,0.0
20230109:0910,258.0936,14.23,-0.42,2.9582,0.0
20230109:1010,253.5373,16.39,0.1718,3.0718,0.0
20230109:1110,348.7036,16.22,0.62,3.1418,0.0
20230109:1210,224.0227,13.73,0.8255,3.0091,0.0
20230109:1310,148.3418,9.16,0.78,2.7964,0.0
20230109:1410,19.3909,2.88,0.36,2.6391,0.0
20230109:1510,0.0,0.0,-0.3182,2.8409,0.0
20230109:1610,0.0,0.0,-0.7673,2.9964,0.0
20230109:1710,0.0,0.0,-0.9818,3.0518,0.0
20230109:1810,0.0,0.0,-1.1464,3.1545,0.0
20230109:1910,0.0,0.0,-1.2,3.1718,0.0
20230109:2010,0.0,0.0,-1.2636,3.1291,0.0
20230109:2110,0.0,0.0,-1.2736,3.1527,0.0
20230109:2210,0.0,0.0,-1.2418,3.1218,0.0
20230109:2310,0.0,0.0,-1.1373,3.1545,0.0
20230110:0010,0.0,0.0,-1.1427,3.1655,0.0
20230110:0110,0.0,0.0,-1.1573,3.14,0.0
20230110:0210,0.0,0.0,-1.1609,3.1118,0.0
20230110:0310,0.0,0.0,-1.1327,3.1473,0.0
20230110:0410,0.0,0.0,-1.1345,3.2155,0.0
20230110:0510,0.0,0.0,-1.1655,3.31,0.0
20230110:0610,0.0,0.0,-1.24,3.2909,0.0
20230110:0710,39.6655,3.6091,-1.2818,3.2164,0.0
20230110:0810,115.1618,10.05,-1.0518,3.4336,0.0
20230110:0910,118.7091,14.35,-0.6655,3.4545,0.0
20230110:1010,137.4091,16.53,-0.2527,3.4873,0.0
20230110:1110,132.6136,16.37,0.0682,3.4527,0.0
20230110:1210,103.1636,13.9,0.2682,3.4545,0.0
20230110:1310,122.2918,9.33,0.2309,3.5545,0.0
20230110:1410,12.9218,3.05,-0.05,3.46,0.0
20230110:1510,0.0,0.0,-0.4109,3.5545,0.0
