time,G(i)
2025-01-01,352.9809
2025-01-02,313.8564
2025-01-03,257.1782
2025-01-04,361.9391
2025-01-05,209.1582
2025-01-06,182.0827
2025-01-07,262.2636
2025-01-08,233.3082
2025-01-09,348.7036
2025-01-10,137.4091
2025-01-11,163.6027
2025-01-12,232.63
2025-01-13,189.2082
2025-01-14,186.9409
2025-01-15,213.0
2025-01-16,253.6455
2025-01-17,184.3355
2025-01-18,205.6982
2025-01-19,127.48
2025-01-20,187.6164
2025-01-21,174.8545
2025-01-22,161.2027
2025-01-23,222.5055
2025-01-24,192.5182
2025-01-25,119.9
2025-01-26,168.8582
2025-01-27,281.1045
2025-01-28,183.7327
2025-01-29,334.4364
2025-01-30,204.2209
2025-01-31,268.4027
2025-02-01,306.5345
2025-02-02,175.4736
2025-02-03,245.9455
2025-02-04,256.2973
2025-02-05,371.7436
2025-02-06,272.0855
2025-02-07,392.6973
2025-02-08,297.3855
2025-02-09,313.3882
2025-02-10,286.43
2025-02-11,162.9409
2025-02-12,341.7945
2025-02-13,310.8227
2025-02-14,416.3618
2025-02-15,327.0227
2025-02-16,455.0573
2025-02-17,387.9518
2025-02-18,460.5427
2025-02-19,387.34
2025-02-20,315.0709
2025-02-21,397.0855
2025-02-22,444.3545
2025-02-23,347.4627
2025-02-24,350.8445
2025-02-25,411.7855
2025-02-26,384.6355
2025-02-27,465.57
2025-02-28,589.1555
2025-03-01,405.3718
2025-03-02,347.0436
2025-03-03,457.2527
2025-03-04,380.5445
2025-03-05,573.7473
2025-03-06,312.4682
2025-03-07,367.7364
2025-03-08,339.4464
2025-03-09,333.6336
2025-03-10,596.5464
2025-03-11,475.2436
2025-03-12,371.9764
2025-03-13,551.6609
2025-03-14,603.8209
2025-03-15,375.4082
2025-03-16,535.0264
2025-03-17,663.2273
2025-03-18,593.7455
2025-03-19,575.6864
2025-03-20,440.65
2025-03-21,566.8518
2025-03-22,504.4318
2025-03-23,692.8327
2025-03-24,729.8427
2025-03-25,685.8982
2025-03-26,516.5273
2025-03-27,713.0836
2025-03-28,676.0045
2025-03-29,588.4373
2025-03-30,567.9209
