date,E_south,E_ew
2025-01-01,0.0000,3.1781
2025-01-02,0.0000,2.8318
2025-01-03,0.0000,2.3256
2025-01-04,0.0000,3.2814
2025-01-05,0.0000,1.9015
2025-01-06,0.0000,1.6601
2025-01-07,0.0000,2.3984
2025-01-08,0.0000,2.1482
2025-01-09,0.0000,3.2213
2025-01-10,0.0000,1.2785
2025-01-11,0.0000,1.5278
2025-01-12,0.0000,2.1806
2025-01-13,0.0000,1.7805
2025-01-14,0.0000,1.7661
2025-01-15,0.0000,2.0204
2025-01-16,0.0000,2.4157
2025-01-17,0.0000,1.7628
2025-01-18,0.0000,1.9753
2025-01-19,0.0000,1.2296
2025-01-20,0.0000,1.8244
2025-01-21,0.0000,1.7083
2025-01-22,0.0000,1.5825
2025-01-23,0.0000,2.1946
2025-01-24,0.0000,1.9079
2025-01-25,0.0000,1.1980
2025-01-26,0.0000,1.6956
2025-01-27,0.0000,2.8365
2025-01-28,0.0000,1.8632
2025-01-29,0.0000,3.4205
2025-01-30,0.0000,2.0995
2025-01-31,0.0000,2.7737
2025-02-01,0.0000,3.1843
2025-02-02,0.0000,1.8326
2025-02-03,0.0000,2.5822
2025-02-04,0.0000,2.7137
2025-02-05,0.0000,3.9573
2025-02-06,0.0000,2.9213
2025-02-07,0.0000,4.2392
2025-02-08,0.0000,3.2277
2025-02-09,0.0000,3.4194
2025-02-10,0.0000,3.1419
2025-02-11,0.0000,1.7966
2025-02-12,0.0000,3.7879
2025-02-13,0.0000,3.4734
2025-02-14,0.0000,4.6719
2025-02-15,0.0000,3.6695
2025-02-16,0.0000,5.1062
2025-02-17,0.0000,4.3532
2025-02-18,0.0000,5.1678
2025-02-19,0.0000,4.3464
2025-02-20,0.0000,3.5355
2025-02-21,0.0000,4.4643
2025-02-22,0.0000,4.9959
2025-02-23,0.0000,3.9130
2025-02-24,0.0000,3.9512
2025-02-25,0.0000,4.6376
2025-02-26,0.0000,4.3319
2025-02-27,0.0000,5.2435
2025-02-28,0.0000,6.6427
2025-03-01,0.0000,4.5707
2025-03-02,0.0000,3.9131
2025-03-03,0.0000,5.1603
2025-03-04,0.0000,4.2947
2025-03-05,0.0000,6.4752
2025-03-06,0.0000,3.5265
2025-03-07,0.0000,4.1528
2025-03-08,0.0000,3.8334
2025-03-09,0.0000,3.7679
2025-03-10,0.0000,6.7372
2025-03-11,0.0000,5.3673
2025-03-12,0.0000,4.2027
2025-03-13,0.0000,6.2329
2025-03-14,0.0000,6.8245
2025-03-15,0.0000,4.2430
2025-03-16,0.0000,6.0471
2025-03-17,0.0000,7.4961
2025-03-18,0.0000,6.7108
2025-03-19,0.0000,6.5067
2025-03-20,0.0000,4.9813
2025-03-21,0.0000,6.4089
2025-03-22,0.0000,5.7032
2025-03-23,0.0000,7.8332
2025-03-24,0.0000,8.2515
2025-03-25,0.0000,7.7546
2025-03-26,0.0000,5.8397
2025-03-27,0.0000,8.0624
2025-03-28,0.0000,7.6430
2025-03-29,0.0000,6.6528
2025-03-30,0.0000,6.4212
2025-03-31,0.0000,5.5166
2025-04-01,0.0000,6.0264
2025-04-02,0.0000,7.8710
2025-04-03,0.0000,6.4497
2025-04-04,0.0000,7.5437
2025-04-05,0.0000,7.4267
2025-04-06,0.0000,4.9942
2025-04-07,0.0000,7.7018
2025-04-08,0.0000,7.5312
2025-04-09,0.0000,6.9584
2025-04-10,0.0000,8.7908
2025-04-11,0.0000,6.7188
2025-04-12,0.0000,6.7569
2025-04-13,0.0000,7.0125
2025-04-14,0.0000,7.7147
2025-04-15,0.0000,5.4918
2025-04-16,0.0000,7.0252
2025-04-17,0.0000,6.9713
2025-04-18,0.0000,8.4457
2025-04-19,0.0000,7.9826
2025-04-20,0.0000,7.6091
2025-04-21,0.0000,8.9779
2025-04-22,0.0000,8.5251
2025-04-23,0.0000,9.1962
2025-04-24,0.0000,8.5144
2025-04-25,0.0000,8.1043
2025-04-26,0.0000,6.9595
2025-04-27,0.0000,7.0403
2025-04-28,0.0000,7.5804
2025-04-29,0.0000,8.1105
2025-04-30,0.0000,6.3175
2025-05-01,0.0000,8.7269
2025-05-02,0.0000,7.4553
2025-05-03,0.0000,5.8828
2025-05-04,0.0000,8.3050
2025-05-05,0.0000,9.1537
2025-05-06,0.0000,7.7603
2025-05-07,0.0000,7.8216
2025-05-08,0.0000,7.7312
2025-05-09,0.0000,10.4447
2025-05-10,0.0000,8.3005
2025-05-11,0.0000,10.3830
2025-05-12,0.0000,8.8918
2025-05-13,0.0000,8.4983
2025-05-14,0.0000,6.6379
2025-05-15,0.0000,6.4503
2025-05-16,0.0000,6.9018
2025-05-17,0.0000,7.0782
2025-05-18,0.0000,7.2807
2025-05-19,0.0000,8.0372
2025-05-20,0.0000,8.3276
2025-05-21,0.0000,8.3336
2025-05-22,0.0000,8.3054
2025-05-23,0.0000,8.0114
2025-05-24,0.0000,7.8918
2025-05-25,0.0000,7.7056
2025-05-26,0.0000,8.6771
2025-05-27,0.0000,8.1047
2025-05-28,0.0000,8.7457
2025-05-29,0.0000,8.1438
2025-05-30,0.0000,7.6705
2025-05-31,0.0000,8.6091
2025-06-01,0.0000,8.4019
2025-06-02,0.0000,7.0433
2025-06-03,0.0000,10.2969
2025-06-04,0.0000,9.1917
2025-06-05,0.0000,9.8846
2025-06-06,0.0000,9.8121
2025-06-07,0.0000,10.3882
2025-06-08,0.0000,9.4488
2025-06-09,0.0000,8.8846
2025-06-10,0.0000,9.6927
2025-06-11,0.0000,8.9297
2025-06-12,0.0000,8.9051
2025-06-13,0.0000,7.3828
2025-06-14,0.0000,6.6944
2025-06-15,0.0000,7.9252
2025-06-16,0.0000,8.6970
2025-06-17,0.0000,7.6082
2025-06-18,0.0000,8.2055
2025-06-19,0.0000,9.0787
2025-06-20,0.0000,8.9931
2025-06-21,0.0000,8.6206
2025-06-22,0.0000,8.6952
2025-06-23,0.0000,5.7308
2025-06-24,0.0000,7.6698
2025-06-25,0.0000,8.5505
2025-06-26,0.0000,8.3067
2025-06-27,0.0000,8.7089
2025-06-28,0.0000,8.9616
2025-06-29,0.0000,9.4088
2025-06-30,0.0000,9.2096
2025-07-01,0.0000,8.0431
2025-07-02,0.0000,7.5657
2025-07-03,0.0000,7.3223
2025-07-04,0.0000,8.9792
2025-07-05,0.0000,8.7244
2025-07-06,0.0000,8.7648
2025-07-07,0.0000,8.1488
2025-07-08,0.0000,7.9772
2025-07-09,0.0000,8.5608
2025-07-10,0.0000,7.9308
2025-07-11,0.0000,6.2811
2025-07-12,0.0000,7.4770
2025-07-13,0.0000,5.9102
2025-07-14,0.0000,7.2969
2025-07-15,0.0000,7.4254
2025-07-16,0.0000,7.9528
2025-07-17,0.0000,5.8949
2025-07-18,0.0000,9.3734
2025-07-19,0.0000,9.0000
2025-07-20,0.0000,9.4305
2025-07-21,0.0000,9.3027
2025-07-22,0.0000,9.7863
2025-07-23,0.0000,8.6063
2025-07-24,0.0000,8.2612
2025-07-25,0.0000,8.0272
2025-07-26,0.0000,8.3649
2025-07-27,0.0000,9.2093
2025-07-28,0.0000,8.3965
2025-07-29,0.0000,9.2137
2025-07-30,0.0000,8.4752
2025-07-31,0.0000,8.6875
2025-08-01,0.0000,8.9192
2025-08-02,0.0000,8.9966
2025-08-03,0.0000,8.5012
2025-08-04,0.0000,8.5776
2025-08-05,0.0000,7.8031
2025-08-06,0.0000,8.4445
2025-08-07,0.0000,9.1190
2025-08-08,0.0000,9.1173
2025-08-09,0.0000,10.2430
2025-08-10,0.0000,8.2594
2025-08-11,0.0000,8.6757
2025-08-12,0.0000,8.7357
2025-08-13,0.0000,7.8932
2025-08-14,0.0000,8.3326
2025-08-15,0.0000,9.8471
2025-08-16,0.0000,7.3930
2025-08-17,0.0000,7.4805
2025-08-18,0.0000,7.6850
2025-08-19,0.0000,9.1274
2025-08-20,0.0000,8.8667
2025-08-21,0.0000,6.8785
2025-08-22,0.0000,8.1144
2025-08-23,0.0000,7.5689
2025-08-24,0.0000,7.7627
2025-08-25,0.0000,8.2120
2025-08-26,0.0000,7.9580
2025-08-27,0.0000,8.4302
2025-08-28,0.0000,8.3482
2025-08-29,0.0000,8.4787
2025-08-30,0.0000,6.8395
2025-08-31,0.0000,8.1981
2025-09-01,0.0000,7.7525
2025-09-02,0.0000,6.4137
2025-09-03,0.0000,7.6758
2025-09-04,0.0000,7.7215
2025-09-05,0.0000,7.4343
2025-09-06,0.0000,8.1280
2025-09-07,0.0000,7.9827
2025-09-08,0.0000,9.4507
2025-09-09,0.0000,7.4984
2025-09-10,0.0000,8.1358
2025-09-11,0.0000,7.1253
2025-09-12,0.0000,7.6991
2025-09-13,0.0000,7.9344
2025-09-14,0.0000,7.6585
2025-09-15,0.0000,8.4129
2025-09-16,0.0000,7.0224
2025-09-17,0.0000,6.6322
2025-09-18,0.0000,6.6438
2025-09-19,0.0000,5.1699
2025-09-20,0.0000,5.3532
2025-09-21,0.0000,5.0198
2025-09-22,0.0000,5.6623
2025-09-23,0.0000,5.8601
2025-09-24,0.0000,5.9116
2025-09-25,0.0000,6.3680
2025-09-26,0.0000,5.3770
2025-09-27,0.0000,5.9540
2025-09-28,0.0000,7.7544
2025-09-29,0.0000,6.1555
2025-09-30,0.0000,4.7949
2025-10-01,0.0000,7.5696
2025-10-02,0.0000,6.3990
2025-10-03,0.0000,6.2818
2025-10-04,0.0000,6.6774
2025-10-05,0.0000,6.7889
