date,avg_kW_south,max_kW_south,max_kW_time_south
2025-01-01,98.9055,705.3447,2025-01-01 11:30:00
2025-01-02,88.1607,627.0050,2025-01-02 11:30:00
2025-01-03,72.4335,513.6363,2025-01-03 11:30:00
2025-01-04,102.2287,722.6434,2025-01-04 11:30:00
2025-01-05,59.2576,417.4664,2025-01-05 11:30:00
2025-01-06,51.7534,363.2999,2025-01-06 11:30:00
2025-01-07,74.7985,523.0955,2025-01-07 11:30:00
2025-01-08,66.7810,465.1684,2025-01-08 11:30:00
2025-01-09,100.1877,694.9749,2025-01-09 11:30:00
2025-01-10,39.6362,273.7539,2025-01-10 11:30:00
2025-01-11,47.3828,325.9456,2025-01-11 11:45:00
2025-01-12,67.6550,463.6684,2025-01-12 11:45:00
2025-01-13,55.2659,377.2683,2025-01-13 11:45:00
2025-01-14,54.8488,372.8799,2025-01-14 11:45:00
2025-01-15,62.7821,424.9933,2025-01-15 11:45:00
2025-01-16,75.1169,506.2386,2025-01-16 11:45:00
2025-01-17,54.8537,368.0027,2025-01-17 11:45:00
2025-01-18,61.5120,410.7459,2025-01-18 11:45:00
2025-01-19,38.3144,254.6102,2025-01-19 11:45:00
2025-01-20,56.6839,374.7868,2025-01-20 11:45:00
2025-01-21,53.1046,349.3509,2025-01-21 11:45:00
2025-01-22,49.2195,322.1213,2025-01-22 11:45:00
2025-01-23,68.3035,444.6756,2025-01-23 11:45:00
2025-01-24,59.4227,384.7884,2025-01-24 11:45:00
2025-01-25,37.2169,239.6688,2025-01-25 11:45:00
2025-01-26,52.7096,337.5596,2025-01-26 11:45:00
2025-01-27,88.2459,561.9873,2025-01-27 11:45:00
2025-01-28,58.0093,367.3430,2025-01-28 11:45:00
2025-01-29,106.2082,668.6842,2025-01-29 11:45:00
2025-01-30,65.2331,408.3448,2025-01-30 11:45:00
2025-01-31,86.2411,536.6976,2025-01-31 11:45:00
2025-02-01,99.0721,612.9643,2025-02-01 11:45:00
2025-02-02,57.0528,350.8963,2025-02-02 11:45:00
2025-02-03,80.4415,491.8297,2025-02-03 11:45:00
2025-02-04,84.3401,512.5391,2025-02-04 11:45:00
2025-02-05,123.0676,743.4169,2025-02-05 11:45:00
2025-02-06,90.6282,544.1252,2025-02-06 11:45:00
2025-02-07,131.5933,785.3353,2025-02-07 11:45:00
2025-02-08,100.2615,594.7291,2025-02-08 11:45:00
2025-02-09,106.2965,626.7353,2025-02-09 11:45:00
2025-02-10,97.7482,572.8240,2025-02-10 11:45:00
2025-02-11,55.9445,325.8615,2025-02-11 11:45:00
2025-02-12,118.0660,683.5464,2025-02-12 11:45:00
2025-02-13,108.0321,621.6054,2025-02-13 11:45:00
2025-02-14,145.6093,832.6675,2025-02-14 11:45:00
2025-02-15,115.0650,653.9980,2025-02-15 11:45:00
2025-02-16,161.0920,910.0431,2025-02-16 11:45:00
2025-02-17,138.1728,775.8369,2025-02-17 11:45:00
2025-02-18,165.0194,920.9972,2025-02-18 11:45:00
2025-02-19,139.6318,774.5961,2025-02-19 11:45:00
2025-02-20,114.2642,630.0652,2025-02-20 11:45:00
2025-02-21,144.8925,794.0614,2025-02-21 11:45:00
2025-02-22,163.1193,888.5699,2025-02-22 11:45:00
2025-02-23,128.3293,694.8010,2025-02-23 11:45:00
2025-02-24,130.3516,701.5467,2025-02-24 11:45:00
2025-02-25,153.9085,823.3808,2025-02-25 11:45:00
2025-02-26,144.6117,769.0692,2025-02-26 11:45:00
2025-02-27,176.0791,930.8650,2025-02-27 11:45:00
2025-02-28,224.1615,1177.9154,2025-02-28 11:45:00
2025-03-01,155.1401,810.4386,2025-03-01 11:45:00
2025-03-02,133.5948,693.7923,2025-03-02 11:45:00
2025-03-03,177.0622,914.0701,2025-03-03 11:45:00
2025-03-04,148.2149,760.6843,2025-03-04 11:45:00
2025-03-05,224.7601,1146.8149,2025-03-05 11:45:00
2025-03-06,123.1092,624.5251,2025-03-06 11:45:00
2025-03-07,145.7266,734.9384,2025-03-07 11:45:00
2025-03-08,135.2862,678.3474,2025-03-08 11:45:00
2025-03-09,133.7233,666.6799,2025-03-09 11:45:00
2025-03-10,240.4481,1191.9407,2025-03-10 11:45:00
2025-03-11,192.6368,949.4853,2025-03-11 11:45:00
2025-03-12,151.6340,743.0956,2025-03-12 11:45:00
2025-03-13,226.1322,1101.9427,2025-03-13 11:45:00
2025-03-14,248.9157,1206.0065,2025-03-14 11:45:00
2025-03-15,155.6080,749.7164,2025-03-15 11:45:00
2025-03-16,222.9838,1068.3631,2025-03-16 11:45:00
2025-03-17,277.9180,1324.2048,2025-03-17 11:45:00
2025-03-18,250.1537,1185.3298,2025-03-18 11:45:00
2025-03-19,243.8547,1149.2476,2025-03-19 11:30:00
2025-03-20,187.6690,879.8149,2025-03-20 11:30:00
2025-03-21,242.7353,1131.9653,2025-03-21 11:30:00
2025-03-22,217.1552,1007.4684,2025-03-22 11:30:00
2025-03-23,299.8319,1383.9399,2025-03-23 11:30:00
2025-03-24,317.5027,1458.0562,2025-03-24 11:30:00
2025-03-25,299.9397,1370.4311,2025-03-25 11:30:00
2025-03-26,227.0445,1032.1430,2025-03-26 11:30:00
2025-03-27,315.0935,1425.0584,2025-03-27 11:30:00
2025-03-28,300.2347,1351.0927,2025-03-28 11:30:00
2025-03-29,262.6764,1176.1827,2025-03-29 11:30:00
2025-03-30,254.8284,1135.2655,2025-03-30 12:30:00
2025-03-31,220.0317,975.4351,2025-03-31 12:30:00
2025-04-01,241.5791,1065.6788,2025-04-01 12:30:00
2025-04-02,317.0900,1391.9997,2025-04-02 12:30:00
2025-04-03,261.1442,1140.6816,2025-04-03 12:30:00
